regname,year,avg_mark
Івано-Франківська область,2019,147.42
Івано-Франківська область,2020,150.52
Волинська область,2019,149.53
Волинська область,2020,148.98
Вінницька область,2019,144.28
Вінницька область,2020,146.28
Дніпропетровська область,2019,143.02
Дніпропетровська область,2020,144.78
Донецька область,2019,140.42
Донецька область,2020,141.46
Житомирська область,2019,143.79
Житомирська область,2020,144.34
Закарпатська область,2019,144.62
Закарпатська область,2020,146.02
Запорізька область,2019,142.57
Запорізька область,2020,144.54
Київська область,2019,142.94
Київська область,2020,145.97
Кіровоградська область,2019,144.66
Кіровоградська область,2020,145.69
Луганська область,2019,139.09
Луганська область,2020,140.04
Львівська область,2019,150.25
Львівська область,2020,151.87
Миколаївська область,2019,141.52
Миколаївська область,2020,142.4
Одеська область,2019,143.8
Одеська область,2020,144.97
Полтавська область,2019,146.26
Полтавська область,2020,146.61
Рівненська область,2019,144.83
Рівненська область,2020,147.82
Сумська область,2019,143.71
Сумська область,2020,145.82
Тернопільська область,2019,146.57
Тернопільська область,2020,149.96
Харківська область,2019,146.8
Харківська область,2020,148.14
Херсонська область,2019,141.55
Херсонська область,2020,142.91
Хмельницька область,2019,145.46
Хмельницька область,2020,145.91
Черкаська область,2019,144.27
Черкаська область,2020,147.09
Чернівецька область,2019,150.14
Чернівецька область,2020,149.68
Чернігівська область,2019,144.15
Чернігівська область,2020,147.79
м.Київ,2019,155.57
м.Київ,2020,155.13
